disti_item_number,maker_name,maker_knird_id,drink_name,format,size_format_id,drink_cost,drink_price,distributor_id,disti_item_number,disti_upc,min_quantity,regular_case_cost,current_case_cost,,,,,,,,,,
74009,Upright,99,Oyster Stout,750ml,12, 6.99 , 10.14 ,5,74009,6-53792-01031-5,12,83.92,83.92,,,,,,,,,,
74031,Upright,99,Six Dark Rye,750ml,12, 6.99 , 10.14 ,5,74031,,12,83.92,83.92,,,,,,,,,,
24023,Upright,99,Billy The Mountain,750ml,12, 6.99 , 10.14 ,5,24023,8-55727-00400-4,12,83.92,83.92,,,,,,,,,,
18100,Upright,99,Special Herbs,750ml,12, 10.49 , 15.21 ,5,18100,8-56247-00500-7,12,125.88,125.88,,,,,,,,,,
18105,Upright,99,White Truffle Gose,750ml,12, 10.49 , 15.21 ,5,18105,8-56247-00502-1,12,125.88,125.88,,,,,,,,,,
24015,Upright,99,Bad Brains Dark Lager,750ml,12, 6.99 , 10.14 ,5,24015,8-55727-00405-9,12,83.92,83.92,,,,,,,,,,
24080,Upright,99,Fantasia,750ml,12, 19.59 , 28.41 ,5,24080,8-55727-00425-7,12,235.12,235.12,,,,,,,,,,
24053,Upright,99,Five,750ml,12, 6.99 , 10.14 ,5,24053,,12,83.92,83.92,,,,,,,,,,
25505,Upright,99,Flora Rustica,750ml,12, 6.99 , 10.14 ,5,25505,8-69033-00010-0,12,83.92,83.92,,,,,,,,,,
24002,Upright,99,Anniversary Saison,750ml,12, 10.49 , 15.21 ,5,24002,8-55727-00423-3,12,125.88,125.88,,,,,,,,,,
24090,Upright,99,Fatali Four,750ml,12, 10.14 , 14.71 ,5,24090,8-5572-700402-8,12,121.72,121.72,,,,,,,,,,
25500,Upright,99,Flora Barrel Aged,750ml,12, 10.49 , 15.21 ,5,25500,6-96859-13704-4,12,125.88,125.88,,,,,,,,,,
74025,Upright,99,Pure Wit,750ml,12, 6.99 , 10.14 ,5,74025,6-53792-01031-5,12,83.92,83.92,,,,,,,,,,
74028,Upright,99,Seven Saison,750ml,12, 6.99 , 10.14 ,5,74028,6-53792-01031-5,12,83.92,83.92,,,,,,,,,,
38099,Upright,99,Upright Donuts Saison,50ltr,13, 180.00 , 261.00 ,5,38099,,1,180,180,,,,,,,,,,
